symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
succeq, succ, sim	6214	Choice under Uncertainty	Model and expected utility	no	define	Weak preference is introduced, but strict preference and indifference first appear at 6269 and 6372 without definitions as derived parts.	Weak preference and its asymmetric and symmetric parts: p succ q iff p succeq q and not q succeq p; p sim q iff both weak rankings hold.	preference-relations
p^+,p^-	6358	Choice under Uncertainty	Representation Theorem	yes	ok	Proof-level notation, used across several paragraphs; the associated z^+,z^- are only labels for the extremal prizes.	Best and worst degenerate lotteries p^+=delta_{z^+} and p^-=delta_{z^-}.	extremal-degenerate-lotteries
alpha_p	6395	Choice under Uncertainty	Representation Theorem	yes	ok	The subscript distinguishes this lottery-specific mixture coordinate from the chapter's many unrelated alpha parameters.	Unique best--worst mixture weight satisfying p sim alpha_p p^+ +(1-alpha_p)p^-.	best-worst-coordinate
U'	6539	Choice under Uncertainty	Recoverability	yes	ok	A second affine representation; the positive-affine relationship is stated later in the same theorem.	Alternative utility representation U'=aU+b with a>0.	positive-affine-transform
alpha (affine scale)	6552	Choice under Uncertainty	Recoverability	yes	overload	Positive-affine scale here; alpha later denotes portfolio holdings, wealth shares, price sensitivity, and a production exponent.	Strictly positive scale coefficient linking two affine utility representations.	affine-utility-scale
b (affine shift)	6556	Choice under Uncertainty	Recoverability	yes	overload	Additive utility shift here; b later denotes the common Gorman wealth coefficient.	Additive constant linking two affine utility representations.	affine-utility-shift
v (Bernoulli utility)	6569	Choice under Uncertainty	Recoverability	yes	overload	Alternative Bernoulli index here; v_i later denotes indirect utility and v(a,x_a) deterministic choice utility.	Alternative Bernoulli utility index representing the same lottery preference as u.	alternative-bernoulli-index
u dot p	6573	Choice under Uncertainty	Recoverability	no	define	New dot-product shorthand replaces the earlier explicit sum without definition.	Expected utility written as the Euclidean pairing sum_z u(z)p(z).	expected-utility-pairing
operatorname{co}(Z)	6614	Choice under Uncertainty	Attitudes towards Risk	yes	ok	Requires the monetary embedding of the finite prize set.	Convex hull of the monetary prizes, used as the domain of utility over sure amounts.	convex-hull-prizes
bar z(p)	6617	Choice under Uncertainty	Attitudes towards Risk	yes	ok	No conflict.	Expected monetary value of lottery p: sum_z z p(z).	expected-prize
operatorname{CE}(p,u)	6640	Choice under Uncertainty	Attitudes towards Risk	yes	ok	Depends on strict monotonicity and range inclusion, both stated.	Certainty equivalent u^{-1}(U(p)) of lottery p under Bernoulli utility u.	certainty-equivalent
rho(p,u)	6641	Choice under Uncertainty	Attitudes towards Risk	yes	overload	Monetary risk premium here; rho later denotes stochastic-choice probabilities and a stacked choice vector.	Monetary risk premium bar z(p)-CE(p,u); consider RP(p;u) to avoid collision with stochastic choice.	risk-premium
pi(x,epsilon,u)	6650	Choice under Uncertainty	Attitudes towards Risk	yes	overload	Probability premium here; pi later denotes state probabilities, a distribution over rankings, a problem-set risk premium, and firm profit.	Probability premium that makes the specified two-point lottery indifferent to the sure outcome; prefer varpi for this object.	probability-premium
Sigma	6680	Choice under Uncertainty	Expected Utility for Infinite Sets	yes	ok	No conflict.	Borel sigma-algebra on the prize space.	borel-sigma-algebra
(Z,Sigma)	6729	Choice under Uncertainty	Expected Utility for Infinite Sets	yes	ok	Z has changed type from finite ordered prizes to a compact metric space.	Measurable prize space consisting of outcome space Z and sigma-algebra Sigma.	measurable-prize-space
p:Sigma->[0,1]	6745	Choice under Uncertainty	Expected Utility for Infinite Sets	yes	overload	The same p previously denoted a PMF evaluated at prizes; it is now a measure evaluated at events.	Countably additive probability measure p on (Z,Sigma).	lottery-measure
Delta(Z,Sigma)	6777	Choice under Uncertainty	Expected Utility for Infinite Sets	yes	overload	Deliberately extends the finite simplex; the one-argument abbreviation hides Sigma.	Set of probability measures on measurable space (Z,Sigma).	probability-measure-space
Rightarrow	6806	Choice under Uncertainty	Expected Utility for Infinite Sets	yes	ok	No conflict.	Weak convergence of probability measures, tested against bounded continuous functions.	weak-convergence
p^n	6806	Choice under Uncertainty	Expected Utility for Infinite Sets	no	define	The convergence definition invokes p^n without first declaring a sequence of probability measures.	Sequence (p^n)_{n>=1} in Delta(Z,Sigma) converging weakly to p.	lottery-sequence
f (weak-convergence test)	6809	Choice under Uncertainty	Expected Utility for Infinite Sets	no	overload	Used in the integral before line 6813 describes it as bounded and continuous; f later becomes the firm's production function.	Arbitrary bounded continuous real-valued test function on the prize space.	weak-convergence-test-function
alpha,beta	6893	Choice under Uncertainty	Application: Demand for a Risky Asset	yes	overload	Amounts invested in risky and safe assets; the glyphs have unrelated uses before and after this section.	Nonnegative dollar holdings in the risky asset and safe asset, respectively.	portfolio-holdings
Z (random return)	6898	Choice under Uncertainty	Application: Demand for a Risky Asset	yes	overload	Directly collides with Z as the prize space in the same chapter.	Random gross payoff per dollar of the risky asset; rename to tilde R.	risky-return-rv
F	6907	Choice under Uncertainty	Application: Demand for a Risky Asset	yes	overload	CDF of the risky return; later F and G are generic CDFs and F is a production transformation function.	CDF of the risky return, preferably F_R when the return is R.	risky-return-cdf
w	6923	Choice under Uncertainty	Application: Demand for a Risky Asset	no	overload	Initial wealth is only inferable from the budget equation; w later denotes contingent-choice wealth and firm input prices.	Initial investable wealth in the portfolio problem.	portfolio-wealth
phi	6974	Choice under Uncertainty	Application: Demand for a Risky Asset	no	define	Defined only at alpha* and then evaluated at 0, so the displayed formula does not define its asserted domain.	Marginal expected utility phi(alpha)=int u'(w+alpha(z-1))(z-1)dF(z) for every feasible alpha.	portfolio-foc-map
alpha^*	6974	Choice under Uncertainty	Application: Demand for a Risky Asset	no	define	The FOC introduces alpha^* without explicitly declaring it as a solution of the preceding maximization problem.	Optimal risky-asset holding in argmax_{0<=alpha<=w} int u(w+alpha(z-1))dF(z).	optimal-risky-holding
F succeq^{FOSD} G	7039	Choice under Uncertainty	Stochastic dominance for general distributions	no	forward	The theorem uses this relation before line 7047 states its inequality; F and G are not typed as CDFs, compact metric Z from 6677 lacks an order, and the added strict-inequality clause conflates weak and strict FOSD.	Weak FOSD between CDFs on an ordered outcome space Z subseteq R: F(x)<=G(x) for all x; define strict FOSD separately.	fosd-distributions
N	7130	Choice under Uncertainty	The Allais Paradox	no	define	N=3 appears without N being identified as the cardinality of the ordered prize list.	Number of prizes, N=|Z|; state the ordered coordinate convention explicitly.	number-of-prizes
L_1,L'_1,L_2,L'_2	7221	Choice under Uncertainty	The Allais Paradox	yes	incomplete	The four probability vectors are stated, but their coordinate order is only implicit in the preceding table.	Four Allais lotteries with coordinates indexed by an explicitly ordered prize vector.	allais-lotteries
u_z	7276	Choice under Uncertainty	The Allais Paradox	no	define	Subscript notation for utility at a prize is introduced without declaring u_z=u(z); both u_{0.5} and u_{.5} occur.	Utility-at-prize shorthand u_z:=u(z), with one consistent decimal spelling.	utility-at-prize
S	7319	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	ok	No conflict.	Finite state set for state-contingent consumption.	state-space
pi_s	7323	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	incomplete	Called fixed probabilities and assumed positive, but sum_s pi_s=1 is never stated; pi is heavily overloaded elsewhere.	Strictly positive state probabilities satisfying sum_s pi_s=1; use bold pi for the vector.	state-probabilities
x=(x_s)_{s in S}	7328	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	ok	Later x denotes aggregate demand, observed attributes, and other quantity vectors under chapter-local scopes.	Strictly positive state-contingent consumption plan.	contingent-consumption
R_{++}^S	7328	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	no	define	Strict-positive-orthant convention is used rather than stated; later strict positivity is also written w>>0.	Vectors indexed by S with every component strictly positive.	strict-positive-orthant
p (state prices)	7333	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	overload	Same glyph as a lottery and probability measure earlier in the chapter.	Strictly positive vector of state prices; prefer q or p^s only if a chapter-wide convention distinguishes it from probabilities.	state-price-vector
w (contingent budget)	7337	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	overload	Scalar wealth in the state-contingent budget; w previously denotes portfolio wealth and later denotes a vector of firm input prices.	Positive wealth available for state-contingent consumption.	contingent-consumption-wealth
lambda	7361	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	overload	Budget multiplier here; lambda is later reused as a cost-minimization multiplier.	Positive Lagrange multiplier on the consumer budget constraint.	consumer-budget-multiplier
mathcal O^T	7380	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	ok	No conflict.	Dataset of T observed price-consumption pairs.	rp-dataset
beta_s^t	7419	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	incomplete	Introduced as positive numbers; their marginal-utility interpretation appears only after the inequalities.	Positive marginal-utility numbers associated with state s and observation t in the finite-data test.	marginal-utility-numbers
lambda^t	7423	Choice under Uncertainty	Revealed Preference of Expected Utility under Concavity	yes	ok	Observation-specific budget multiplier; distinct from unindexed lambda but typography could make scope clearer.	Positive budget multiplier for observation t.	observation-multiplier
r	7555	Choice under Uncertainty	Measuring Risk Aversion in the Lab	yes	ok	CRRA parameter is inferable from the displayed family and named explicitly in following prose.	Coefficient of relative risk aversion in power utility, with log utility at r=1.	crra-parameter
k	7576	Choice under Uncertainty	Measuring Risk Aversion in the Lab	yes	ok	No conflict.	Number of initial safe Option-A choices before a single switch to Option B.	safe-choice-count
A,B	7650	Choice under Uncertainty	Measuring Risk Aversion in the Lab	yes	overload	Lottery-option labels; A and B previously or later denote aggregate-demand coefficients and menus.	Safe and risky options, respectively, in each Holt-Laury decision row.	holt-laury-options
A_1,A_2,B_1,B_2	7666	Choice under Uncertainty	Measuring Risk Aversion in the Lab	yes	ok	No conflict within the experiment.	High and low monetary outcomes of Holt-Laury options A and B.	holt-laury-outcomes
epsilon (small risk)	7908	Choice under Uncertainty	Problems	yes	overload	Zero-mean wealth risk here; epsilon previously denotes a small symmetric prize spread and later denotes discrete-choice shocks.	Zero-mean additive wealth shock in the Arrow--Pratt approximation problem.	arrow-pratt-risk
sigma^2 (risk variance)	7911	Choice under Uncertainty	Problems	yes	overload	Variance of epsilon here; the same glyph is reused as the risky-return variance in the next exercise.	Variance of the zero-mean wealth shock epsilon.	arrow-pratt-risk-variance
pi (exercise risk premium)	7914	Choice under Uncertainty	Problems	yes	conflict	The main text defined monetary risk premium as rho and probability premium as pi; this exercise reverses that convention.	Monetary risk premium should remain rho throughout; reserve varpi for probability premium.	exercise-risk-premium
mathbb E	7917	Choice under Uncertainty	Problems	no	standardize	Expectation is conventional, but the text should state that it is under the law of epsilon; the same operator is reused for discrete-choice shocks.	Expectation under the probability law specified by the current model.	expectation-operator
A(w)	7927	Choice under Uncertainty	Problems	yes	ok	A is also used for alternatives, menus, and Gorman intercepts, but the argument identifies this local index.	Arrow-Pratt coefficient of absolute risk aversion -u''(w)/u'(w).	absolute-risk-aversion
W (terminal wealth)	7958	Choice under Uncertainty	Problems	yes	overload	W later denotes aggregate wealth in the next chapter.	Random terminal wealth in the CARA-normal portfolio exercise; prefer tilde W.	terminal-wealth
w (CARA initial wealth)	7958	Choice under Uncertainty	Problems	no	overload	Appears in the terminal-wealth identity without a local definition and reuses both earlier wealth notation and later firm input-price notation.	Initial wealth in the CARA-normal portfolio problem.	cara-initial-wealth
R	7961	Choice under Uncertainty	Problems	yes	overload	Risky return here; R later appears undefined as the set of strict orders in random utility.	Normally distributed risky gross return.	portfolio-return
mu,sigma^2 (return moments)	7961	Choice under Uncertainty	Problems	yes	overload	Normal-return mean and variance; mu is later the logit scale and sigma^2 was just the small-risk variance.	Mean and variance of the normally distributed risky return R.	return-distribution-moments
R_f	7964	Choice under Uncertainty	Problems	yes	ok	No conflict.	Risk-free gross return.	risk-free-return
theta	7967	Choice under Uncertainty	Problems	yes	ok	No conflict.	Dollar position in the risky asset when borrowing and short sales are unrestricted.	risky-position
a (CARA)	7973	Choice under Uncertainty	Problems	yes	overload	CARA coefficient here; a_i is later a Gorman intercept and a denotes an alternative in random utility.	Positive coefficient of absolute risk aversion in exponential utility.	cara-parameter
i,I	8056	Aggregate Demand	Three questions about aggregation	yes	overload	Consumer index and count; i is reused as a chooser index in discrete choice without a fresh range.	Consumers i=1,...,I.	consumer-index
x_i	8065	Aggregate Demand	Three questions about aggregation	yes	ok	No conflict within the chapter.	Consumer i's Marshallian demand vector.	individual-demand
p (commodity prices)	8069	Aggregate Demand	Three questions about aggregation	yes	overload	Same glyph as lotteries and state prices; chapter reset makes it readable but a global glossary must type it.	Strictly positive L-vector of common commodity prices.	commodity-price-vector
L (number of goods)	8069	Aggregate Demand	Three questions about aggregation	no	forward	Dimension L appears without a local declaration; it is explicitly introduced only in the firm chapter at 9019.	Number of commodities, declared before the first R^L-valued object in each part.	number-of-commodities
w_i	8073	Aggregate Demand	Three questions about aggregation	yes	overload	Individual wealth; w later denotes a firm input-price vector.	Strictly positive wealth of consumer i.	individual-wealth
X	8080	Aggregate Demand	Three questions about aggregation	yes	overload	Aggregate demand here; x^A is introduced for the same object in Problem 6.3.	Aggregate Marshallian demand, the sum of individual demands.	aggregate-demand
mathbf w	8085	Aggregate Demand	Three questions about aggregation	yes	overload	Wealth-distribution vector here; at 8303 the same notation becomes a price-dependent allocation rule.	Vector of individual wealth levels; write w(p,W) only when emphasizing an allocation rule.	wealth-distribution
W (total wealth)	8090	Aggregate Demand	Three questions about aggregation	yes	overload	Conflicts with terminal wealth W in Problem 5.4.	Aggregate wealth sum_i w_i.	total-wealth
v_i	8115	Aggregate Demand	Gorman aggregation	no	forward	Used in the Gorman equation before the prose calls it indirect utility; lowercase v later denotes deterministic utility in random choice.	Consumer i's indirect utility function.	indirect-utility
a_i,b	8115	Aggregate Demand	Gorman aggregation	no	forward	The equation precedes the definitions of consumer-specific intercept a_i and common slope b; both glyphs are reused elsewhere.	Gorman intercept a_i(p) and strictly positive common wealth coefficient b(p).	gorman-components
A(p),B(p)	8156	Aggregate Demand	Gorman aggregation	no	forward	Used in aggregate demand before definitions at 8161 and 8165; A and B are later option/menu labels.	Price-dependent intercept and total-wealth coefficient in aggregate Gorman demand.	aggregate-gorman-coefficients
X(p,W)	8200	Aggregate Demand	Aggregate demand and WARP	yes	incomplete	The argument switches from X(p,bold w) to X(p,W) without naming the fixed wealth-allocation rule that makes total wealth sufficient.	Aggregate demand at prices p and total wealth W under an explicitly fixed allocation rule bold w(p,W).	aggregate-demand-total-wealth
alpha_i	8230	Aggregate Demand	Aggregate demand and WARP	yes	overload	Fixed wealth shares; alpha has several unrelated scalar roles elsewhere.	Strictly positive fixed wealth share of consumer i, summing to one.	wealth-share
q=p/W	8244	Aggregate Demand	Aggregate demand and WARP	yes	overload	Normalized price vector; q previously denotes a lottery and later physical output.	Price vector normalized by total wealth.	normalized-price
succeq^{rep}	8275	Aggregate Demand	Representative consumers and welfare	yes	ok	No conflict.	Preference relation of a positive representative consumer whose Walrasian demand is X.	representative-preference
mathcal W	8294	Aggregate Demand	Representative consumers and welfare	yes	ok	Distinct typographically from total wealth W, but visually close.	Social welfare function mapping the I-vector of individual utilities to a scalar.	social-welfare-function
mathbf w(p,W)	8303	Aggregate Demand	Representative consumers and welfare	yes	overload	Same bold w as the generic wealth vector at 8085, now a policy/allocation rule.	Nonnegative wealth-allocation rule conditional on prices and total wealth.	welfare-wealth-rule
x(p,1)	8412	Aggregate Demand	Problems	yes	ok	Problem-specific normalization.	Unit-wealth Marshallian demand under common homothetic preferences.	unit-wealth-demand
x^A	8447	Aggregate Demand	Problems	yes	standardize	A second notation for aggregate demand conflicts with the chapter's X.	Use X(p) for aggregate demand and reserve superscripts for scenarios, not aggregation.	exercise-aggregate-demand
j,J	8508	Discrete Choice and Random Utility	Choice from a finite menu	yes	overload	Alternative index and maximum label; J later counts firms.	Alternatives j in the finite labeled set {0,...,J}.	alternative-index
0 (outside option)	8513	Discrete Choice and Random Utility	Choice from a finite menu	yes	ok	No conflict.	Distinguished outside alternative in the discrete-choice menu.	outside-option
U^*_{ij}	8524	Discrete Choice and Random Utility	Choice from a finite menu	yes	overload	Latent conditional indirect utility; star and indices distinguish it from expected utility U.	Latent utility of consumer i from alternative j.	latent-choice-utility
x_j	8524	Discrete Choice and Random Utility	Choice from a finite menu	no	forward	First appears inside U* before line 8529 defines it as observed attributes.	Observed attribute vector of alternative j.	alternative-attributes
p_j	8524	Discrete Choice and Random Utility	Choice from a finite menu	no	define	Appears in U* and the budget identity but is never explicitly identified as alternative price.	Price of alternative j.	alternative-price
y_i	8524	Discrete Choice and Random Utility	Choice from a finite menu	no	define	Appears in U* and the budget identity but is never explicitly identified as income.	Income or expenditure capacity of consumer i.	chooser-income
V_j	8524	Discrete Choice and Random Utility	Choice from a finite menu	no	forward	First appears in U* before line 8534 calls it mean utility; V later denotes expected maximum utility.	Mean or systematic utility for alternative j.	mean-utility
epsilon_{ij}	8524	Discrete Choice and Random Utility	Choice from a finite menu	no	forward	First appears in U* before line 8539 calls it an unobserved shock.	Unobserved utility shock of consumer i for alternative j.	choice-shock
P_{ij}	8546	Discrete Choice and Random Utility	Choice from a finite menu	yes	standardize	Later menu choice probabilities use rho_A(a), rho(a,x), and P(j|A).	Probability that consumer i chooses alternative j from the stated menu.	individual-choice-probability
Pr	8546	Discrete Choice and Random Utility	Choice from a finite menu	no	standardize	The probability operator is not tied to a declared probability space and changes to mathbb P in the random-utility definition.	Probability under the declared distribution of utility shocks; use mathbb P consistently.	choice-probability-operator
p_0	8555	Discrete Choice and Random Utility	Choice from a finite menu	yes	ok	No conflict beyond the general overloading of p.	Price of the outside good.	outside-good-price
z (outside quantity)	8559	Discrete Choice and Random Utility	Choice from a finite menu	yes	overload	Same glyph previously used for prizes and later for the firm's input vector.	Quantity of the outside good; use x_0 to align with the alternative index.	outside-good-quantity
mu	8581	Discrete Choice and Random Utility	Multinomial logit and IIA	yes	ok	No conflict.	Positive scale parameter of the Type-I extreme-value shocks.	logit-scale
A (menu)	8629	Discrete Choice and Random Utility	Random utility	yes	overload	Finite menu here; A already labels a Holt-Laury option and Gorman coefficient.	Finite nonempty menu of alternatives.	choice-menu
Omega	8633	Discrete Choice and Random Utility	Random utility	no	define	Used as the domain of the random utility vector without a declared sigma-algebra or probability measure.	Sample space in an explicitly stated probability space (Omega,F,P).	random-utility-sample-space
boldsymbol U	8633	Discrete Choice and Random Utility	Random utility	yes	overload	Random utility vector; related but not identical to U* and U(a,x).	Measurable random vector of utilities indexed by alternatives in A.	random-utility-vector
mathbb P	8638	Discrete Choice and Random Utility	Random utility	no	define	Choice probabilities invoke P although no underlying probability space has been declared.	Probability measure on the random-utility probability space.	random-utility-probability
rho_A(a)	8638	Discrete Choice and Random Utility	Random utility	yes	overload	Stochastic choice probability; rho was monetary risk premium and later rho loses the menu subscript.	Probability of choosing a from menu A under the zero-tie convention.	stochastic-choice-rule
rho (stacked)	8657	Discrete Choice and Random Utility	Random utility	yes	overload	Stacked choice-frequency vector; same glyph as risk premium and rho_A.	Vector stacking rho_B(a) over all observed menu-alternative pairs.	stacked-choice-vector
M	8657	Discrete Choice and Random Utility	Random utility	no	forward	Used in rho=M pi before its entries are defined at 8666; M later counts outputs.	Menu-order incidence matrix mapping ranking-type masses into stochastic choice probabilities.	rum-incidence-matrix
R (orders)	8662	Discrete Choice and Random Utility	Random utility	no	define	Delta(R) is used although R is never assigned to the previously described set of strict linear orders; R already denoted a return in Problem 5.4.	Finite set R(A) of strict linear orders on the universal alternative set.	ranking-type-set
pi (ranking distribution)	8662	Discrete Choice and Random Utility	Random utility	yes	overload	Distribution over orders; conflicts with probability premium, state probabilities, exercise risk premium, and firm profit.	Probability vector over deterministic ranking types; prefer tau or lambda^R.	ranking-type-masses
mathbb I	8666	Discrete Choice and Random Utility	Random utility	yes	ok	Standard indicator notation is defined by its displayed event.	Indicator equal to one when a is r-best in menu B and zero otherwise.	indicator-function
r (ranking type)	8666	Discrete Choice and Random Utility	Random utility	no	overload	Used as a matrix-column order without r in R(A) being declared; r earlier denotes the CRRA coefficient.	Strict linear-order type r in the finite ranking set R(A).	ranking-type
mathbf 1	8672	Discrete Choice and Random Utility	Random utility	no	standardize	Vector of ones is not defined; normalization uses a dot product here and a transpose in Problem 7.3.	Conformable all-ones vector with normalization 1^T pi=1.	ones-vector
boldsymbol u	8692	Discrete Choice and Random Utility	Random expected utility	yes	overload	Random Bernoulli utility vector, distinguished from deterministic u only by boldface.	Measurable random Bernoulli-utility vector indexed by prizes.	random-bernoulli-utility
boldsymbol U_omega	8696	Discrete Choice and Random Utility	Random expected utility	yes	ok	No conflict when boldface and omega subscript are preserved.	Expected-utility functional induced by realization omega of random Bernoulli utility.	random-expected-utility
x=(x_a)_{a in A}	8722	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	overload	Attribute profile; x earlier denotes consumption and demand vectors.	Profile of observed alternative-specific attribute vectors.	attribute-profile
U(a,x)	8729	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	overload	Utility indexed by alternative and attributes; conflicts typographically with expected utility U and latent U*.	Random utility of alternative a at attribute profile x.	attribute-random-utility
v(a,x_a)	8729	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	overload	Deterministic utility index; lowercase v earlier denotes indirect utility.	Deterministic component of alternative utility.	deterministic-choice-index
epsilon=(epsilon_a)_{a in A}	8734	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	ok	No conflict within the chapter.	Vector of alternative-specific unobserved utility shocks.	attribute-shock-vector
beta	8743	Discrete Choice and Random Utility	Attributes and consumer surplus	no	define	Coefficient vector appears in the linear index without a stated dimension or interpretation.	Conformable coefficient vector in v(a,x_a)=x_a^T beta.	choice-index-coefficients
V(x)	8756	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	conflict	Expected maximum utility reuses V after V_j denoted mean utility in the same chapter.	Expected maximum or social-surplus function; prefer mathcal S(x) to distinguish it from systematic utility V_j.	expected-maximum-utility
alpha (price coefficient)	8761	Discrete Choice and Random Utility	Attributes and consumer surplus	no	forward	First appears in -alpha p_a before following prose identifies it; alpha has many unrelated roles.	Positive marginal disutility of price in deterministic utility.	price-disutility
Delta CS	8771	Discrete Choice and Random Utility	Attributes and consumer surplus	yes	ok	The text correctly warns that the level depends on additive normalization.	Money-metric change in expected consumer surplus between scenarios 0 and 1.	consumer-surplus-change
x^0,x^1	8771	Discrete Choice and Random Utility	Attributes and consumer surplus	no	define	The formula calls these scenarios but never defines the two attribute-price profiles or what changes between them.	Baseline and counterfactual profiles used in the consumer-surplus comparison.	consumer-surplus-scenarios
rho(a,x)	8799	Discrete Choice and Random Utility	Attributes and consumer surplus	no	standardize	Never connected explicitly to rho_A(a) or P_ij; menu dependence disappears from the notation.	Choice probability for a at x with the menu held explicit, preferably rho_A(a|x).	attribute-choice-probability
v(a) (mean-utility coordinate)	8799	Discrete Choice and Random Utility	Attributes and consumer surplus	no	standardize	The derivative is written with respect to v(a), although only v(a,x_a) was defined; the fixed-x coordinate convention is unstated.	Mean-utility coordinate v_a=v(a,x_a) with attribute profile x held fixed.	mean-utility-coordinate
P(j|A)	8851	Discrete Choice and Random Utility	Problems	yes	standardize	Fourth probability notation in the chapter after P_ij, rho_A(a), and rho(a,x).	Menu-conditional choice probability; select one chapter-wide notation and map indexed special cases to it.	menu-choice-probability
L (firm commodities)	9019	Theory of the Firm	Production sets	yes	overload	Finally defines the dimension used without declaration at 8069.	Number of commodities in net-output space.	firm-commodity-count
y	9020	Theory of the Firm	Production sets	yes	ok	No conflict within the chapter.	Net-output production plan; positive components are outputs and negative components are inputs.	net-output-vector
Y	9023	Theory of the Firm	Production sets	yes	ok	Later intentionally reused for the aggregate Minkowski-sum technology.	Closed feasible production set in R^L.	production-set
<= on production vectors	9031	Theory of the Firm	Production sets	no	define	Free disposal relies on componentwise order but the ordering convention is not stated.	Componentwise order on net-output vectors.	production-vector-order
F (transformation)	9044	Theory of the Firm	Production sets	yes	overload	Production transformation function collides with CDF notation F used throughout uncertainty.	Transformation function whose nonpositive sublevel set is the technology.	transformation-function
bar y	9045	Theory of the Firm	Production sets	no	define	A frontier point is used in derivative conditions without being named as such.	Boundary production plan satisfying F(bar y)=0.	frontier-production-plan
M (number of outputs)	9069	Theory of the Firm	Production functions and input substitution	yes	conflict	M was the random-utility incidence matrix in the immediately preceding chapter.	Number of outputs in a multi-output technology; prefer K_y to avoid matrix collision.	number-of-outputs
q (output)	9071	Theory of the Firm	Production functions and input substitution	yes	overload	Output vector and later scalar target; q previously denoted a lottery and normalized prices.	Nonnegative output vector, specialized to a scalar target in the single-output case.	output-quantity
z (inputs)	9072	Theory of the Firm	Production functions and input substitution	yes	overload	Input-use vector; z earlier denotes prizes and outside-good quantity.	Nonnegative vector of input quantities.	input-vector
f	9074	Theory of the Firm	Production functions and input substitution	yes	ok	No conflict.	Single-output production function mapping inputs to maximal feasible output.	production-function
operatorname{MRTS}_{ell k}	9086	Theory of the Firm	Production functions and input substitution	yes	ok	Component-derivative notation f_ell is conventional but not separately declared.	Marginal rate of technical substitution f_ell(z)/f_k(z) between inputs ell and k.	mrts
p (firm price vector)	9104	Theory of the Firm	Profit maximization	yes	conflict	A vector here but silently becomes a scalar output price at 9159.	L-vector of commodity prices for the net-output formulation.	firm-price-vector
pi(p) (profit)	9109	Theory of the Firm	Profit maximization	yes	conflict	Firm profit function conflicts with every earlier pi usage.	Support function of technology Y at price p; use Pi(p) if a global notation policy reserves lowercase pi for probabilities.	profit-function
